TCL集团股份有限公司
爱尔眼科医院集团股份有限公司
爱普香料集团股份有限公司
安徽安德利百货股份有限公司
安徽安德利百货股份有限公司
安徽安科生物工程(集团)股份有限公司
安徽安利材料科技股份有限公司
安徽安纳达钛业股份有限公司
安徽楚江科技新材料股份有限公司
安徽德力日用玻璃股份有限公司
安徽丰原药业股份有限公司
安徽富煌钢构股份有限公司
安徽古井贡酒股份有限公司
安徽广信农化股份有限公司
安徽国风塑业股份有限公司
安徽国祯环保节能科技股份有限公司
安徽海螺水泥股份有限公司	
安徽合力股份有限公司
安徽恒源煤电股份有限公司
安徽鸿路钢结构(集团)股份有限公司
安徽华茂纺织股份有限公司
安徽华信国际控股股份有限公司
安徽黄山胶囊股份有限公司
安徽辉隆农资集团股份有限公司
安徽集友新材料股份有限公司
安徽江淮汽车集团股份有限公司
